node_id,lat,lon,stop_count,in_degree_weighted,out_degree_weighted,betweenness,closeness,eigenvector
2698,20.645235,-103.26439,4,4,4,0.002762227347560433,0.026360431064850077,2.9866388035851957e-19
2699,20.648975,-103.263925,2,2,2,0.0001267518522198597,0.025538123228939134,3.605476510705161e-20
2700,20.647575,-103.26123000000001,2,3,3,0.0028976464772728686,0.025374319336840295,1.4108248614521821e-19
2701,20.641687500000003,-103.2594475,4,4,5,0.004880158743736476,0.025386716440927656,8.198550219946575e-18
2702,20.637496666666667,-103.25373666666667,3,4,5,0.0012981938866576156,0.0245652006242015,3.1455985825890756e-17
2703,20.63074181818182,-103.24930727272726,11,10,10,0.027828305424888636,0.02486053319788758,1.7562724580905356e-16
2704,20.633557166666666,-103.25083500000001,12,11,10,0.026419901156781306,0.02496454904112565,1.1466221109121815e-16
2705,20.649625,-103.261135,2,2,2,0.002565882355473714,0.024749665196369636,3.602467571576617e-20
2706,20.64618,-103.27283,1,4,4,0.0022090794320293403,0.027650904447887065,1.0561228713747902e-17
2707,20.6565,-103.30199,1,1,1,0.000630955141910524,0.031617812670300956,1.3846584166033821e-17
2708,20.656685,-103.30472499999999,2,2,2,0.0032629184071560667,0.03170232396525915,6.237112557669546e-16
2709,20.657336666666666,-103.30683333333333,3,2,2,0.004044417927736659,0.03153248983293523,5.253528593989221e-17
2710,20.65746,-103.30881,1,1,2,0.002841479120188627,0.03070149430784149,4.423127080179245e-18
2711,20.657905,-103.31013999999999,2,1,1,0.0022814200422124737,0.03003446477292565,3.724156272976955e-19
2712,20.659287,-103.313645,2,2,2,0.0026422167111681324,0.029151665239801568,5.768266655806709e-20
2713,20.65998,-103.31564,1,1,1,0.0021692552746614916,0.02841273024492017,4.9357114242069486e-21
2714,20.66159,-103.32024,1,1,1,0.0003704836261532436,0.032809204000491955,3.400845478542402e-17
2715,20.66285,-103.32385,1,1,2,0.0003698604885557381,0.03145277209315125,2.947601798955124e-18
2716,20.66372,-103.33503,1,1,1,0.0007453292154890254,0.032063197638393874,3.156689040010865e-16
2717,20.66405,-103.33611,1,1,1,0.0007447060778915199,0.03132131550257665,2.7327931451318133e-17
2718,20.66563,-103.34114,1,1,1,0.0007440829402940144,0.029812124658078826,2.3663622135617933e-18
2719,20.66655,-103.3441,2,1,1,0.000743459802696509,0.028871261760318012,2.0495245331626542e-19
2720,20.67123666666667,-103.34885000000001,3,5,4,0.009565756934869997,0.03514294154259956,1.3341445666239573e-11
2721,20.66363,-103.32307,1,1,1,0.0,0.03287792338267055,2.0347887011201895e-15
2722,20.65938,-103.31094,1,1,1,0.0014558193743902457,0.030660541398056844,2.99840661649366e-19
2723,20.652865,-103.29421500000001,2,2,2,0.0061678159401089986,0.030745972068051967,2.3318106011273913e-18
2724,20.65242,-103.2914,1,1,3,0.0023846909367808778,0.02981976665523763,1.9634044688846669e-19
2725,20.631771666666666,-103.26223333333333,6,5,5,0.0037494472486265763,0.025002259970575074,6.07392217498193e-19
2726,20.634120000000003,-103.26135,2,2,2,0.0002112719699905997,0.024465114180882586,6.449957732656758e-20
2727,20.636295,-103.26288500000001,2,2,2,0.0001282813717773731,0.024312554091704103,2.5061273564634916e-20
2728,20.63704,-103.26122000000001,2,2,2,0.0004089765350173306,0.024584191639159467,1.4218406268102936e-19
2729,20.64026666666667,-103.26039333333334,6,4,4,0.0033044420306989303,0.025211748198211203,1.0866563998345682e-18
2730,20.64447,-103.26003,1,1,1,0.0,0.024342711394171816,1.3909349354165164e-19
2731,20.64524,-103.267075,2,2,2,0.0017900193977069215,0.026808437134867948,5.231146173070774e-20
2732,20.645220000000002,-103.27072,2,2,2,0.0024856109031405112,0.02760965431841843,2.162433350830678e-19
